text,mood
I am very happy today,Happy
I got a new job,Happy
I feel amazing,Happy
I am excited,Happy
This is the best day,Happy
I am feeling sad,Sad
I miss my friend,Sad
I am crying,Sad
I feel lonely,Sad
Everything is bad,Sad
I am so angry,Angry
I hate this,Angry
This makes me mad,Angry
I am frustrated,Angry
I am calm,Neutral
Today is normal,Neutral
Nothing special happened,Neutral
I am okay,Neutral
Just another day,Neutral
I am feeling fantastic,Happy
Today is a wonderful day,Happy
I passed my exam,Happy
I won the competition,Happy
I got promoted,Happy
I am smiling today,Happy
Life is beautiful,Happy
I enjoyed the party,Happy
I achieved my goal,Happy
I got my dream job,Happy
My family surprised me,Happy
I love spending time with my friends,Happy
Everything is going well,Happy
I am proud of myself,Happy
I received good news,Happy
I am full of energy,Happy
I had a great vacation,Happy
I feel blessed,Happy
I am very grateful today,Happy
I completed my project successfully,Happy
I am excited for tomorrow,Happy
I feel confident,Happy
I got a gift today,Happy
Today is my lucky day,Happy
I am enjoying my life,Happy
I feel heartbroken,Sad
Nobody understands me,Sad
I failed my exam,Sad
I lost my phone,Sad
I am feeling depressed,Sad
I miss my family,Sad
I feel helpless,Sad
I am disappointed,Sad
Everything is going wrong,Sad
I am unhappy,Sad
I feel empty,Sad
My friend ignored me,Sad
I am crying alone,Sad
Today is a bad day,Sad
I lost my pet,Sad
I regret my decision,Sad
I feel hopeless,Sad
I am mentally exhausted,Sad
I got rejected,Sad
I am feeling down,Sad
My plans failed,Sad
I have no motivation,Sad
I am worried about my future,Sad
I feel lonely today,Sad
Nothing makes me happy,Sad
I am furious,Angry
I cannot control my anger,Angry
This is unacceptable,Angry
I am really upset,Angry
Stop bothering me,Angry
Leave me alone,Angry
I am annoyed,Angry
This makes me furious,Angry
I hate waiting,Angry
I am losing my patience,Angry
Why did you do this,Angry
I am very irritated,Angry
I cannot tolerate this,Angry
Everything is frustrating,Angry
This is ridiculous,Angry
I am shouting loudly,Angry
You ruined my day,Angry
I am feeling aggressive,Angry
I am disappointed and angry,Angry
I am sick of this,Angry
Don't talk to me,Angry
This is so unfair,Angry
I am extremely mad,Angry
You made me angry,Angry
I am boiling with anger,Angry
I am reading a book,Neutral
I am going to college,Neutral
I am eating lunch,Neutral
Today is Monday,Neutral
I am working on my laptop,Neutral
I woke up early,Neutral
I am writing notes,Neutral
The weather is normal,Neutral
I am watching television,Neutral
I am sitting in my room,Neutral
I am learning Python,Neutral
I am drinking water,Neutral
I have completed my work,Neutral
I am waiting for the bus,Neutral
I am using my mobile phone,Neutral
I am walking in the park,Neutral
I have a meeting today,Neutral
I am attending class,Neutral
I am cooking dinner,Neutral
I am listening to music,Neutral
The shop is open,Neutral
I am checking my email,Neutral
I finished my homework,Neutral
I am cleaning my room,Neutral
I am travelling to Mysore,Neutral
I am eating dinner,Neutral
I feel terrified whenever I hear strange sounds.,Fear
The dark forest made me feel uneasy.,Fear
I was afraid to answer the phone.,Fear
I fear making the wrong decision.,Fear
My stomach tightened with fear.,Fear
I felt nervous before my presentation.,Fear
I am worried about tomorrow.,Fear
I panic when I lose my wallet.,Fear
I fear being left alone.,Fear
The barking dog scared me.,Fear
I was frightened by the lightning.,Fear
I was afraid to enter the old house.,Fear
My anxiety keeps growing.,Fear
I fear disappointing my parents.,Fear
I became nervous during the interview.,Fear
I felt threatened by the stranger.,Fear
I was scared to look behind me.,Fear
I am afraid of deep water.,Fear
I couldn't stop shaking.,Fear
I feared the worst.,Fear
I thought something terrible had happened.,Fear
The silence made me uncomfortable.,Fear
I was scared to drive in the storm.,Fear
I fear losing my job.,Fear
My mind was filled with fear.,Fear
I truly love my parents.,Love
I love helping people in need.,Love
You always make my day brighter.,Love
I appreciate everything you do for me.,Love
